TRINITY_DN11724_c0_g2,392,435
TRINITY_DN9362_c0_g1,247,290
TRINITY_DN8171_c0_g1,341,384
TRINITY_DN8171_c0_g1,341,384
TRINITY_DN9431_c0_g2,359,402
TRINITY_DN12996_c0_g13,186,229
TRINITY_DN28617_c0_g1,340,383
TRINITY_DN7765_c0_g1,86,129
TRINITY_DN2899_c0_g1,3,46
TRINITY_DN12069_c0_g1,342,385
TRINITY_DN9625_c1_g2,360,403
TRINITY_DN11724_c0_g4,204,247
TRINITY_DN13361_c0_g2,320,363
TRINITY_DN9625_c1_g2,372,415
TRINITY_DN12908_c0_g3,329,372
TRINITY_DN13349_c2_g1,348,391
TRINITY_DN13349_c2_g1,348,391
TRINITY_DN12014_c1_g1,358,401
TRINITY_DN12908_c0_g1,70,113
TRINITY_DN13349_c2_g1,11,54
TRINITY_DN13349_c2_g1,11,54
TRINITY_DN13349_c2_g1,11,54
TRINITY_DN13361_c0_g4,325,368
TRINITY_DN13349_c2_g13,348,391
TRINITY_DN9362_c0_g2,342,385
TRINITY_DN12908_c0_g1,356,399
TRINITY_DN13196_c4_g6,359,402
TRINITY_DN12568_c0_g1,355,398
TRINITY_DN11266_c0_g1,354,397
TRINITY_DN9431_c0_g1,368,411
TRINITY_DN13346_c0_g9,336,379
TRINITY_DN10791_c1_g2,350,393
TRINITY_DN16783_c0_g1,349,392
TRINITY_DN9362_c0_g1,339,382
TRINITY_DN11906_c7_g2,357,400
TRINITY_DN12908_c0_g1,93,136
TRINITY_DN21227_c0_g1,60,103
TRINITY_DN11724_c0_g4,159,202
TRINITY_DN9625_c1_g3,365,408
TRINITY_DN13361_c0_g2,333,376
TRINITY_DN13361_c0_g2,350,393
TRINITY_DN9625_c1_g3,365,408
TRINITY_DN13346_c0_g8,291,334
TRINITY_DN6695_c0_g1,326,369
TRINITY_DN12908_c0_g1,323,366
TRINITY_DN12852_c0_g9,169,212
TRINITY_DN2977_c0_g1,171,214
TRINITY_DN7109_c0_g1,337,380
TRINITY_DN13361_c0_g2,349,392
TRINITY_DN13346_c0_g8,291,334
TRINITY_DN7765_c2_g1,353,396
TRINITY_DN12069_c0_g1,337,380
TRINITY_DN12809_c0_g1,340,383
TRINITY_DN13573_c9_g30,379,422
TRINITY_DN12908_c0_g1,331,374
TRINITY_DN10791_c1_g1,348,391
TRINITY_DN20695_c0_g1,347,390
TRINITY_DN1791_c0_g1,5,48
TRINITY_DN9176_c0_g1,350,393
TRINITY_DN13294_c0_g6,321,364
TRINITY_DN12808_c0_g1,185,228
TRINITY_DN11906_c7_g1,359,402
TRINITY_DN12852_c0_g9,349,392
TRINITY_DN12267_c0_g2,348,391
TRINITY_DN4321_c0_g1,332,375
TRINITY_DN6742_c0_g2,350,393
TRINITY_DN13361_c0_g2,334,377
TRINITY_DN11906_c7_g3,357,400
TRINITY_DN12071_c0_g1,344,387
TRINITY_DN5735_c0_g1,154,197
TRINITY_DN13161_c1_g9,353,396
TRINITY_DN13361_c0_g2,350,393
TRINITY_DN7115_c0_g1,343,386
TRINITY_DN12908_c0_g1,70,113
TRINITY_DN12568_c0_g1,354,397
TRINITY_DN12613_c0_g1,349,392
TRINITY_DN6060_c0_g1,353,396
TRINITY_DN2977_c0_g1,334,377
TRINITY_DN11906_c6_g5,340,383
TRINITY_DN12071_c0_g1,359,402
TRINITY_DN12014_c1_g2,357,400
TRINITY_DN12071_c0_g1,344,387
TRINITY_DN12808_c0_g1,366,409
TRINITY_DN26198_c0_g1,129,172
TRINITY_DN13346_c0_g6,338,381
TRINITY_DN11906_c6_g8,314,357
