Trinity8,ho8quants,ho7quants
TRINITY_DN20127_c0_g1,14.335433,38.82102
TRINITY_DN29284_c0_g1,1.01726,1.54243
TRINITY_DN20127_c0_g3,,
TRINITY_DN18860_c1_g1,1.55346,3.76432
TRINITY_DN20296_c0_g1,4.41926,0
TRINITY_DN19699_c0_g1,7.00902,3.18534
TRINITY_DN18363_c0_g1,0,217.48482
TRINITY_DN18372_c1_g2,0.460259,8.8683
TRINITY_DN20354_c0_g1,7.13787,21.2092785147603
TRINITY_DN20438_c0_g1,38.169503,13.1492127
TRINITY_DN17923_c0_g1,3.945651,7.573413
TRINITY_DN20148_c0_g1,15.3616,0
TRINITY_DN18980_c0_g1,42.75409,72.3864
TRINITY_DN19760_c2_g2,,
TRINITY_DN17655_c1_g1,3.08166,0
TRINITY_DN19226_c0_g2,0,1.60752
TRINITY_DN19643_c1_g1,0.104947,8.968453
TRINITY_DN12197_c0_g1,3.08292,0
TRINITY_DN19891_c0_g1,3.28334,9.17873
TRINITY_DN15353_c0_g1,4.500588,3.386804
TRINITY_DN20287_c0_g1,13.1174,0
TRINITY_DN17190_c0_g2,,
TRINITY_DN19252_c0_g1,0,1.2927
TRINITY_DN20282_c2_g2,,
TRINITY_DN19751_c1_g1,40.5835847845073,29.7750399
TRINITY_DN19835_c3_g3,,
TRINITY_DN20053_c0_g1,12.4590135,9.21452
TRINITY_DN19226_c0_g3,,
TRINITY_DN30342_c0_g1,0,1.97678
TRINITY_DN20354_c0_g2,,
TRINITY_DN20172_c0_g2,,
TRINITY_DN20172_c0_g1,51.23733,57.0648346
TRINITY_DN13187_c0_g1,0,1.6659
TRINITY_DN12563_c0_g1,0,12.6778
TRINITY_DN18254_c0_g1,2.82242,2.65808
TRINITY_DN16981_c0_g2,,
TRINITY_DN18793_c1_g1,,
TRINITY_DN20044_c0_g1,10.7312911,20.5087
TRINITY_DN17762_c0_g1,40.30395,50.5183
TRINITY_DN19451_c0_g1,10.5411940115878,5.9897192
TRINITY_DN18590_c4_g1,0,0.71797
TRINITY_DN17484_c0_g1,10.394726,5.91285060996
TRINITY_DN20345_c0_g2,,
TRINITY_DN18254_c0_g2,,
TRINITY_DN18498_c1_g5,,
TRINITY_DN20287_c0_g2,,
TRINITY_DN17923_c2_g3,,
TRINITY_DN18363_c0_g2,,
TRINITY_DN20152_c1_g6,,
TRINITY_DN15960_c0_g6,,
TRINITY_DN20345_c0_g6,,
TRINITY_DN12652_c0_g1,11.6545,0
TRINITY_DN16537_c0_g1,2.16486,0
TRINITY_DN16005_c0_g1,96.5162306,60.4894899
TRINITY_DN19556_c1_g1,,
TRINITY_DN4049_c0_g1,2.4493,0
TRINITY_DN18399_c0_g1,19.86397,8.411756
TRINITY_DN15456_c0_g1,20.4352,6.94694
TRINITY_DN19271_c1_g1,6.43577,0
TRINITY_DN20992_c0_g1,21.863439,6.0022214
TRINITY_DN19903_c0_g1,2.14876,0.0828765
TRINITY_DN19556_c0_g1,16.01337,27.686951
TRINITY_DN19534_c1_g1,0,1.15032
TRINITY_DN15413_c0_g1,2.81523,6.86962
TRINITY_DN20068_c1_g2,,
TRINITY_DN18860_c0_g2,13.8195,5.9925
TRINITY_DN9813_c0_g1,1.29582,0.465965
TRINITY_DN19012_c2_g1,3.29674,0
TRINITY_DN20071_c0_g1,2.32286,2.54245
TRINITY_DN13891_c0_g1,2.58333,4.30442
TRINITY_DN16839_c0_g2,,
TRINITY_DN19318_c1_g3,20.8837305,32.57702
TRINITY_DN30163_c0_g1,0,1.58658
TRINITY_DN19451_c0_g3,,
TRINITY_DN19892_c1_g2,,
TRINITY_DN20047_c0_g2,,
TRINITY_DN18372_c1_g1,0,38.7048
TRINITY_DN31666_c0_g1,1.48441,0
TRINITY_DN19329_c0_g1,30.869207,39.124225
TRINITY_DN18571_c0_g1,24.64474,11.062312
TRINITY_DN19012_c3_g6,,
TRINITY_DN18590_c4_g2,,
TRINITY_DN20179_c2_g1,,
TRINITY_DN13342_c0_g1,21.0221,10.9714
TRINITY_DN12652_c0_g2,,
TRINITY_DN14362_c0_g1,3.56185,3.381869
TRINITY_DN12113_c0_g1,0.211707,4.117679
TRINITY_DN13891_c0_g2,,
TRINITY_DN18560_c0_g3,,
TRINITY_DN16981_c0_g1,12.718338,27.21679
TRINITY_DN12759_c0_g1,13.1201,0
TRINITY_DN19226_c0_g1,6.0425338,6.891867
TRINITY_DN17156_c0_g1,,
TRINITY_DN10517_c0_g1,0,2.41016
TRINITY_DN19012_c0_g1,7.68279,0
TRINITY_DN15303_c0_g1,2.71132,0
TRINITY_DN20827_c0_g1,20.093228,16.0008891
TRINITY_DN8712_c0_g1,2.156514,0.787049
TRINITY_DN19643_c1_g2,,
TRINITY_DN19192_c5_g1,,
TRINITY_DN20127_c0_g4,,
TRINITY_DN18860_c0_g1,0,11.4798
TRINITY_DN17190_c0_g1,12.4341,27.909254
TRINITY_DN19451_c0_g2,3.75474,0.987138
TRINITY_DN33643_c0_g1,0,1.6795
TRINITY_DN19012_c1_g1,5.03232,7.12542
TRINITY_DN17190_c0_g3,,
TRINITY_DN16371_c0_g1,63.93613,42.3657
TRINITY_DN18819_c0_g2,,
TRINITY_DN11314_c0_g2,,
TRINITY_DN20345_c0_g8,,
TRINITY_DN15666_c0_g1,25.7557,32.6031
